MS3_id	uniprot_id	gene_name_species	sp_ident	sp_sim	sp_cov	sman_id	sman_ident	sman_simil	sman_cov	sjap_id	sjap_ident	sjap_simil	sjap_cov	opvi_id	opvi_ident	opvi_simil	opvi_cov	closi_id	closi_ident	closi_simil	closi_cov	fahe_id	fahe_ident	fahe_simil	fahe_cov	male_tpm	female_tpm	cel_id	cel_ident	cel_simil	cel_cov	dmel_id	dmel_ident	dmel_simil	dmel_cov	mus_id	mus_ident	mus_simil	mus_cov	hsa_id	hsa_ident	hsa_simil	hsa_lower_75_qtl	hsa_cov	cel_leth	dmel_leth	mus_leth	chokepoint
MS3_10488	Q5PPX0	PPR42_XENLA	17.5	25.0	1	Smp_086030.1	49.5	51.9	1	Sjp_0018480	37.1	41.5	0.847682	T265_13591	34.0	41.4	1	csin100730	17.2	21.1	1	D915_12287	28.6	37.8	0.927152	69.61	45.38									ENSMUSP00000027049.3	17.6	24.9	0.993377	ENSP00000429721.1	20.6	28.4	TRUE	0.993377				FALSE
MS3_10487						Smp_165800.1	3.7	3.9	1					T265_13143	4.0	5.6	1	csin110772	3.0	4.7	1					0.00	0.00																					FALSE
MS3_10486	O80501	RAH1B_ARATH	36.5	44.1	0.901408	Smp_176050.1	56.7	58.1	0.901408	Sjp_0019960	32.8	41.4	0.901408	T265_15145	22.8	28.6	1	csin111279	21.7	27.1	0.901408	D915_10705	37.9	49.5	0.901408	16.57	15.02	T25G12.4	34.7	46.1	0.901408	FBpp0079943	33.8	45.0	0.901408	ENSMUSP00000032946.3	33.3	44.6	0.901408	ENSP00000285208.4	32.9	45.0	TRUE	0.901408		FBpp0079943		FALSE
MS3_10485	Q5RJ80	CAPR2_DANRE	14.2	23.2	0.875502	Smp_105970.1	86.5	89.6	1	Sjp_0041530	70.1	79.0	0.987952					csin104888	19.3	28.6	0.891566	D915_00035	25.1	32.8	0.522088	273.00	447.06																					FALSE
MS3_10484	Q7TQ20	DNJC2_RAT	22.8	34.9	0.925208	Smp_105960.1	48.0	50.0	0.858726	Sjp_0041520	25.2	27.3	1	T265_13824	44.7	57.3	1	csin105171	28.8	35.7	0.756233	D915_03222	11.7	18.9	0.501385	47.89	20.62	F38A5.13	24.1	37.3	0.98892	FBpp0077979	22.7	33.4	0.950139	ENSMUSP00000030771.5	23.0	34.9	0.925208	ENSP00000368565.3	24.2	36.8	TRUE	0.966759	F38A5.13	FBpp0077979		FALSE
MS3_10483						Smp_034080.1	37.6	41.0	1	Sjp_0061010	28.4	37.9	0.558247													0.17	0.03																					FALSE
MS3_10482	A8MYZ6	FOXO6_HUMAN	8.3	11.3	0.513514	Smp_012010.1	26.6	27.4	1	Sjp_0030830	34.7	36.0	0.857143	T265_07745	15.9	19.2	0.942085	csin109166	15.5	19.0	0.942085	D915_04930	40.5	49.3	0.980695	25.06	5.01	R13H8.1b	10.8	18.0	0.749035	FBpp0089343	6.3	9.5	0.528958	ENSMUSP00000101140.1	22.8	31.7	0.737452	ENSP00000493184.1	8.3	11.3	TRUE	0.513514		FBpp0089343		FALSE
MS3_10481						Smp_126760.1	50.5	54.8	0.895685	Sjp_0007810	47.3	54.7	0.826871	T265_12982	19.5	30.9	0.868924	csin104481	19.4	30.8	0.859093	D915_11862	3.7	5.9	0.113599	6.96	1.99																					FALSE
MS3_10480	P55326	YZG1_CAEEL	22.1	34.7	0.968	Smp_081380.1	47.0	48.2	1	Sjp_0064570	35.7	36.7	0.632	T265_02734	32.1	45.5	0.968	csin112396	24.5	34.7	0.968	D915_09502	20.6	33.1	0.6	46.25	114.05	F13E6.1	22.1	34.7	0.968	FBpp0085866	22.0	35.5	0.904	ENSMUSP00000119899.1	18.1	31.9	0.968	ENSP00000430858.2	14.3	22.0	TRUE	0.928				FALSE
MS3_10479	Q8BRU6	VMAT2_MOUSE	15.3	20.7	1	Smp_199260.1	8.1	9.4	0.986667	Sjp_0075630	23.5	30.7	0.973333	T265_06481	11.0	15.9	1	csin106197	15.7	20.0	1	D915_06430	10.7	17.3	1	6.61	5.01	W01C8.6a	14.4	19.0	0.926667	FBpp0090961	13.4	18.7	0.993333	ENSMUSP00000026084.3	15.3	20.7	1	ENSP00000298472.5	15.0	20.6	TRUE	1		FBpp0090961	ENSMUSP00000026084.3	FALSE
MS3_10478	Q26609	HXK_SCHMA	96.0	98.4	1	Smp_043030.1	96.0	98.4	1	Sjp_0034910	66.1	72.3	0.758315	T265_02773	57.4	69.1	0.904656	csin109217	68.1	82.3	0.995565	D915_00809	34.8	44.4	0.62306	485.78	366.75	F14B4.2b	37.5	54.8	0.944568	FBpp0071296	36.0	52.6	0.993348	ENSMUSP00000000642.4	23.0	30.6	0.977827	ENSP00000290573.2	22.8	30.8	TRUE	0.968958		FBpp0071296	ENSMUSP00000000642.4	TRUE
MS3_10477						Smp_180190.1	42.1	44.7	0.985507	Sjp_0091330	48.7	59.2	0.983437	T265_13220	15.0	23.8	0.954451	csin104222	24.9	38.1	0.979296	D915_04182	14.9	25.3	0.453416	39.99	13.62																					FALSE
MS3_10476	Q6P3X3	TTC27_HUMAN	13.4	21.5	0.944272	Smp_152860.1	37.4	39.2	1	Sjp_0075820	26.5	32.1	0.829721	T265_03894	13.6	18.4	1	csin111916	13.3	17.7	0.993808	D915_00461	23.9	30.7	0.399381	53.86	56.41	T20B12.1	10.4	20.3	0.897833	FBpp0074918	10.2	18.6	0.910217	ENSMUSP00000024882.6	13.1	21.1	0.947368	ENSP00000313953.4	13.4	21.5	TRUE	0.944272	T20B12.1	FBpp0074918		FALSE
MS3_10475	Q9JJL8	SYSM_MOUSE	12.2	19.6	0.87451	Smp_057230.1	44.2	47.0	0.952941	Sjp_0075820	19.2	21.9	0.764706	T265_03894	7.6	10.9	0.858824	csin111916	7.9	11.6	0.909804	D915_00464	20.4	24.7	0.388235	8.44	10.19	W03B1.4a	11.7	19.4	0.745098	FBpp0082542	14.2	22.3	0.756863	ENSMUSP00000092216.4	12.2	19.6	0.87451	ENSP00000221431.5	10.8	17.2	TRUE	0.780392		FBpp0082542		FALSE
MS3_10474	Q2T9N1	F1142_BOVIN	14.2	25.0	0.593949	Smp_199120.1	81.3	87.8	0.985669					T265_02198	25.2	36.8	0.783439	csin108557	25.0	37.0	0.759554	D915_03734	12.0	16.5	0.299363	53.95	17.00					FBpp0082626	11.2	18.8	0.458599	ENSMUSP00000031080.8	12.5	22.8	0.60828	ENSP00000341597.4	11.6	23.4	TRUE	0.578025				FALSE
MS3_10473						Smp_048270.2	24.1	24.6	1	Sjp_0021010	24.3	29.1	0.864407	T265_01832	12.6	17.9	0.983051									2.06	5.78																					TRUE
MS3_10472	Q58ED9	NAA20_DANRE	50.5	61.2	0.828571	Smp_048260.2	95.7	98.1	1	Sjp_0021000	79.2	84.2	0.952381	T265_11503	25.4	40.6	0.819048	csin113000	72.2	83.5	0.990476	D915_05426	33.3	39.6	0.733333	172.52	263.63	Y97E10AL.3	44.3	59.5	0.82381	FBpp0074532	51.6	63.8	0.819048	ENSMUSP00000105627.1	50.0	61.2	0.828571	ENSP00000335636.4	50.0	61.2	FALSE	0.828571				FALSE
MS3_10471	Q8VHK9	DHX36_MOUSE	16.8	27.2	0.959315	Smp_152840.1	43.0	44.4	0.982869	Sjp_0075770	45.5	49.6	0.708779	T265_01921	20.8	28.1	0.957173	csin104775	20.4	28.1	0.963597	D915_15852	17.9	25.6	0.520343	17.52	11.80	T07D4.3	11.8	18.9	0.890792	FBpp0080988	17.6	25.0	0.873662	ENSMUSP00000029336.4	16.8	27.2	0.959315	ENSP00000330113.5	17.1	27.3	TRUE	0.959315	T07D4.3	FBpp0080988	ENSMUSP00000029336.4	FALSE
MS3_10470	Q9WTN6	S22AL_MOUSE	24.0	43.4	0.836991	Smp_171870.1	15.8	26.4	0.717868	Sjp_0092960	67.3	79.3	0.987461	T265_09330	44.0	60.7	0.915361	csin109665	44.5	60.7	0.907524	D915_03171	40.8	58.6	0.949843	78.25	19.77	K05F1.6a	17.3	30.3	0.890282	FBpp0083982	24.4	44.3	0.841693	ENSMUSP00000075814.4	24.0	43.4	0.836991	ENSP00000245407.3	23.1	41.9	TRUE	0.822884		FBpp0083982		FALSE
MS3_10469						Smp_114870.1	41.0	55.0	1	Sjp_0038680	24.7	34.1	0.997015	T265_07858	16.8	24.5	0.910448	csin101979	6.0	9.9	0.808955	D915_11797	16.2	24.3	0.632836	268.96	755.24																					FALSE
MS3_10468										Sjp_0060860	39.0	51.0	1													5.36	5.34																					FALSE
MS3_10467	Q5SPL2	PHF12_MOUSE	23.5	36.3	0.808577	Smp_094380.1	77.3	83.0	0.91318	Sjp_0008100	63.1	71.4	0.976987	T265_04036	40.3	51.3	0.810669	csin107378	31.7	42.2	0.687238	D915_06512	14.3	17.9	0.240586	11.92	5.38	C44B9.4	13.2	23.9	0.743724	FBpp0070864	21.8	35.9	0.759414	ENSMUSP00000044990.7	23.5	36.3	0.808577	ENSP00000329933.4	23.8	36.0	TRUE	0.813808				FALSE
MS3_10466						Smp_194000.1	20.2	22.9	1	Sjp_0073250	13.5	16.1	0.992857	T265_07413	13.5	20.6	0.95	csin111962	14.1	20.6	0.9					0.33	1.00																					FALSE
MS3_10465						Smp_027820.1	15.5	20.9	0.524887																	5.75	3.40																					FALSE
MS3_10464	Q9BVL4	SELO_HUMAN	25.4	35.0	0.931373	Smp_196150.1	50.8	54.4	0.995098	Sjp_0019390	55.0	61.7	0.914216	T265_12461	30.2	40.5	0.970588	csin111442	31.5	42.4	0.970588	D915_01844	21.3	25.7	0.313725	74.55	26.37									ENSMUSP00000081020.4	26.0	35.2	0.926471	ENSP00000370288.2	25.4	35.0	TRUE	0.931373				FALSE
MS3_10463						Smp_179970.1	32.7	45.0	0.992537	Sjp_0046170	16.7	26.5	0.992537													1.45	0.00																					FALSE
MS3_10462	Q20065	P4HA2_CAEEL	15.1	23.6	0.770642	Smp_068280.1	43.9	46.2	0.920489	Sjp_0068940	47.0	57.8	0.889908	T265_01562	21.8	34.5	0.941896	csin103253	21.2	33.8	0.929664	D915_00766	16.4	23.2	0.336391	193.31	13.01	F35G2.4	15.1	23.6	0.770642	FBpp0085012	14.1	22.6	0.733945	ENSMUSP00000019050.5	15.1	22.9	0.7737	ENSP00000166534.4	14.2	22.0	TRUE	0.746177				FALSE
MS3_10461	O89033	CDC6_MOUSE	26.5	45.8	0.905123	Smp_145740.1	87.9	91.1	0.994307	Sjp_0112370	27.0	34.0	0.44592	T265_01334	38.5	54.8	0.937381	csin103017	38.0	55.6	0.86907	D915_15061	22.9	35.1	0.55408	8.50	19.93	C43E11.10	24.6	38.4	0.817837	FBpp0076371	19.9	36.1	0.886148	ENSMUSP00000090382.6	26.5	45.8	0.905123	ENSP00000209728.4	24.7	43.1	TRUE	0.865275	C43E11.10			TRUE
MS3_10460										Sjp_0119020	41.7	59.8	1	T265_05745	7.5	10.1	0.99187	csin105391	18.9	27.3	0.963415	D915_14999	20.1	31.6	0.638211	2.70	1.04																					FALSE
MS3_10459	P56597	NDK5_HUMAN	48.1	59.8	0.987879	Smp_146210.1	72.5	73.4	0.975758	Sjp_0093070	69.5	79.6	0.927273	T265_08469	37.1	45.4	0.975758	csin105754	12.8	18.9	0.763636	D915_09898	29.2	39.1	0.678788	16.43	3.47	R05G6.5	18.8	31.0	0.848485	FBpp0073750	23.1	33.2	0.709091	ENSMUSP00000078269.5	45.0	57.8	1	ENSP00000265191.2	48.1	59.8	FALSE	0.987879				FALSE
MS3_10458														T265_08470	6.5	10.3	0.857143	csin110929	7.3	11.6	0.857143					26.81	6.88																					FALSE
MS3_10457	M9NDE3	BARK_DROME	7.6	12.6	0.777889	Smp_124200.1	51.7	55.4	0.963819	Sjp_0000080	29.0	33.7	0.984925	T265_05399	13.9	19.3	0.929648	csin108218	18.3	24.7	0.931658	D915_03837	10.3	15.6	0.311558	0.30	0.00	C06B8.7	8.0	13.4	0.834171	FBpp0077185	7.6	12.6	0.777889											FBpp0077185		FALSE
MS3_10456	O35066	KIF3C_MOUSE	6.8	10.2	0.883212	Smp_140570.1	12.2	12.9	1	Sjp_0064200	25.1	28.0	0.525547	T265_14609	29.6	38.6	0.890511	csin110196	7.5	9.7	1	D915_04804	6.5	9.2	0.992701	0.35	0.00	F20C5.2a	7.5	10.3	0.948905	FBpp0088260	7.6	10.2	0.868613	ENSMUSP00000101444.1	5.7	9.1	0.89781	ENSP00000264712.3	6.7	10.3	TRUE	0.883212				FALSE
MS3_10455	P20233	TRFEA_XENLA	6.3	9.4	0.906542	Smp_151060.1	13.0	13.5	1	Sjp_0018270	24.9	25.1	1	T265_01774	8.8	10.3	1	csin108285	8.2	9.5	1	D915_04186	12.7	13.9	0.242991	4.28	1.98					FBpp0075698	5.7	7.8	0.990654	ENSMUSP00000128609.1	14.8	24.2	0.934579	ENSP00000231751.4	5.2	7.6	TRUE	0.953271		FBpp0075698	ENSMUSP00000128609.1	FALSE
MS3_10454						Smp_017080.1	30.8	33.5	0.973262	Sjp_0072430	33.8	37.8	0.989305	T265_15089	10.4	15.4	0.863636	csin113611	7.8	11.6	0.545455	D915_08758	13.4	19.3	0.477273	34.06	11.74																					FALSE
MS3_10453	P23004	QCR2_BOVIN	23.1	38.6	0.893868	Smp_079450.1	60.5	62.4	0.714623	Sjp_0030820	59.2	64.8	0.846698	T265_15312	35.3	50.5	0.90566	csin102609	35.1	50.9	0.945755	D915_08794	24.1	35.8	0.669811	247.84	271.34	T24C4.1	22.6	39.8	0.882075	FBpp0075069	22.8	39.5	0.879717	ENSMUSP00000033176.5	22.5	38.8	0.884434	ENSP00000268379.4	22.4	37.5	TRUE	0.879717	T24C4.1	FBpp0075069		TRUE
MS3_10452						Smp_180190.1	15.1	15.6	0.884211	Sjp_0061210	43.8	50.5	0.678947	T265_13220	6.6	9.5	0.863158									14.66	3.37																					FALSE
MS3_10451						Smp_032230.1	36.9	42.3	0.986842	Sjp_0027450	42.1	46.7	1					csin107075	25.7	36.2	1					256.80	420.63																					FALSE
MS3_10450	P36876	2ABA_RAT	47.7	61.6	0.819639	Smp_173810.1	85.8	87.5	0.935872	Sjp_0046490	24.2	26.0	0.851703	T265_10138	58.4	67.1	0.90982	csin100739	62.1	71.9	0.907816	D915_08984	28.8	34.4	0.517034	32.69	22.03	F26E4.1	42.2	55.8	0.843687	FBpp0081664	41.3	54.9	0.821643	ENSMUSP00000086640.5	47.5	61.6	0.819639	ENSP00000325074.7	46.6	60.5	FALSE	0.819639	F26E4.1	FBpp0081664		FALSE
MS3_10449	Q9U5L1	SRPRA_DROME	35.0	45.4	0.896624	Smp_095910.1	67.1	68.0	0.978903	Sjp_0101800	64.8	69.0	0.852321	T265_04766	41.0	46.3	0.953586	csin107238	56.9	64.2	0.936709	D915_15318	22.0	25.3	0.310127	104.87	163.56	F38A1.8	31.4	41.6	0.873418	FBpp0073336	35.0	45.4	0.896624	ENSMUSP00000034541.5	34.1	44.4	0.907173	ENSP00000328023.5	33.8	44.6	TRUE	0.890295	F38A1.8	FBpp0073336		TRUE
MS3_10448																										0.00	0.00																					FALSE
MS3_10447	Q8CGF7	TCRG1_MOUSE	20.5	28.1	0.784286	Smp_142100.1	29.7	30.6	0.998571	Sjp_0094870	51.8	54.2	0.717143	T265_15534	19.3	22.5	0.79	csin105809	16.5	19.8	0.912857	D915_14353	28.8	35.9	0.948571	181.14	102.07	ZK1127.9a	21.1	30.0	0.788571	FBpp0292136	28.8	41.1	0.845714	ENSMUSP00000025375.7	20.5	28.1	0.784286	ENSP00000296702.5	20.5	28.5	TRUE	0.827143		FBpp0292136		FALSE
MS3_10446	O14776	TCRG1_HUMAN	6.3	9.6	0.981818	Smp_142100.1	7.4	7.5	1	Sjp_0094890	47.3	50.8	1	T265_15534	4.4	6.5	0.981818	csin105809	2.2	2.9	0.509091	D915_14353	3.7	5.1	0.587879	76.27	51.82	ZK1127.6	14.1	24.5	0.993939	FBpp0292135	6.0	9.2	0.981818	ENSMUSP00000025375.7	6.3	9.6	0.981818	ENSP00000296702.5	6.3	9.6	TRUE	0.981818		FBpp0292135		FALSE
MS3_10445						Smp_019820.1	75.9	77.2	0.837931	Sjp_0064000	42.2	50.0	0.672414	T265_01568	28.5	42.0	0.927586	csin110992	27.2	39.1	0.872414					135.33	121.91																					FALSE
MS3_10444	A7ZMH3	YDIU_ECO24	5.1	6.9	0.434109	Smp_196150.1	6.4	6.7	0.434109	Sjp_0134100	23.3	28.4	0.426357	T265_12461	4.6	7.0	0.651163	csin111442	4.4	6.9	0.573643					0.00	0.00																					FALSE
MS3_10443						Smp_185180.1	36.0	40.5	1					T265_07571	18.5	34.1	0.97191									0.00	0.00																					FALSE
MS3_10442						Smp_145580.1	83.7	90.4	1	Sjp_0087530	34.2	44.1	1	T265_09315	10.7	22.2	0.933155	csin113577	15.8	27.9	0.933155					18.39	0.91																					FALSE
MS3_10441						Smp_043430.1	87.6	93.4	1	Sjp_0087550	68.7	78.0	0.907336	T265_09315	11.9	17.0	0.969112	csin113577	13.8	19.8	0.911197	D915_06108	34.2	52.2	0.791506	0.00	0.00																					FALSE
MS3_10440	Q7L9B9	EEPD1_HUMAN	16.6	28.2	0.907357	Smp_145590.1	15.8	16.1	0.171662	Sjp_0087560	54.8	59.4	0.705722	T265_09316	36.4	48.6	0.99455	csin113578	36.4	48.4	0.99455	D915_06109	27.7	38.1	0.564033	28.37	14.52									ENSMUSP00000047083.5	15.9	28.1	0.904632	ENSP00000242108.4	16.6	28.2	TRUE	0.907357				FALSE
MS3_10439						Smp_145570.1	87.2	91.6	1	Sjp_0087530	19.9	24.5	1	T265_09315	8.3	13.5	0.942731									7.01	0.28																					FALSE
MS3_10438	Q3B725	ZBT24_RAT	12.7	22.0	0.937313	Smp_043420.1	96.4	97.6	1	Sjp_0087540	84.8	91.0	0.997015	T265_04890	20.2	30.8	0.874627	csin107987	23.2	32.0	0.967164	D915_04151	21.7	30.8	0.997015	1.19	2.54	F25D7.3a	9.2	15.1	0.850746	FBpp0082593	8.7	14.8	0.61194	ENSMUSP00000061899.7	7.1	10.2	0.913433	ENSP00000230122.3	9.0	14.0	TRUE	0.662687				FALSE
MS3_10437	Q9Y2I7	FYV1_HUMAN	5.3	9.6	0.704152	Smp_156680.1	74.1	77.0	0.99654	Sjp_0052130	23.3	27.8	0.987889	T265_08692	5.2	7.6	0.813149	csin110539	8.3	12.1	0.83391	D915_12087	15.1	24.6	0.66782	3.64	0.92	VF11C1L.1	8.2	14.4	0.818339	FBpp0088523	6.8	12.6	0.83218	ENSMUSP00000079926.7	5.8	10.5	0.762976	ENSP00000384356.1	16.7	30.2	TRUE	0.704152		FBpp0088523	ENSMUSP00000079926.7	FALSE
MS3_10436						Smp_076520.1	30.8	33.3	1	Sjp_0030840	10.8	15.3	0.71345	T265_11730	17.9	23.1	0.97076	csin102813	26.8	34.8	0.97076					25.54	75.89					FBpp0072628	7.4	11.9	0.654971													FALSE
MS3_10435	Q9Y5F3	PCDB1_HUMAN	11.7	19.0	0.662921	Smp_196240.1	47.0	49.4	0.808989	Sjp_0081300	43.0	48.7	0.895131	T265_13982	20.1	30.4	0.807116	csin102946	18.5	30.0	0.810861	D915_03425	18.4	27.5	0.735955	16.83	0.73	F15B9.7a	4.0	6.8	0.677903	FBpp0077708	3.5	5.7	0.747191	ENSMUSP00000057519.3	11.4	18.1	0.653558	ENSP00000307234.3	11.7	19.0	TRUE	0.662921		FBpp0077708		FALSE
MS3_10434						Smp_161720.1	38.3	43.0	1	Sjp_0023890	7.6	9.4	0.953704													0.00	0.00																					FALSE
MS3_10433						Smp_161710.1	17.3	19.2	0.586667	Sjp_0023890	14.3	18.2	0.906667													3.28	0.00																					FALSE
MS3_10432	Q98TA5	CA1AA_XENLA	11.2	20.5	0.647458	Smp_169140.1	60.0	63.4	0.984746	Sjp_0017790	47.4	53.2	0.976271	T265_06420	23.8	31.4	0.905085	csin106458	30.6	40.6	0.811864	D915_14028	18.6	24.4	0.477966	0.94	24.24	T06D10.2	7.6	12.8	0.327119	FBpp0071172	8.6	15.0	0.622034	ENSMUSP00000002914.8	10.4	16.2	0.611864	ENSP00000301280.4	10.9	18.4	TRUE	0.654237	T06D10.2	FBpp0071172	ENSMUSP00000002914.8	FALSE
MS3_10431						Smp_169150.1	10.6	11.7	1	Sjp_0017780	45.8	51.5	1	T265_05132	12.2	15.4	0.984962	csin105653	5.2	6.4	0.766917	D915_00065	30.7	36.8	0.932331	0.00	0.50																					FALSE
MS3_10430	Q9NW08	RPC2_HUMAN	29.6	39.9	0.967239	Smp_153760.1	55.3	55.5	0.99064	Sjp_0099180	22.5	23.3	0.321373	T265_00950	45.5	49.8	0.984399	csin100206	46.2	50.5	0.9922	D915_12188	27.6	32.3	0.418097	64.38	38.21	F09F7.3	29.4	39.2	0.982839	FBpp0087085	28.5	38.2	0.960998	ENSMUSP00000076418.5	29.6	39.7	0.967239	ENSP00000228347.4	29.6	39.9	TRUE	0.967239	F09F7.3	FBpp0087085	ENSMUSP00000076418.5	FALSE
MS3_10429	O88588	PACS1_RAT	11.7	19.3	0.683587	Smp_094330.1	32.0	32.6	0.840948	Sjp_0023860	32.4	34.7	0.846024	T265_11380	14.7	17.7	0.85956	csin110843	19.8	24.1	0.834179	D915_07167	26.1	31.6	0.478849	51.02	2.80	T18H9.7a	13.3	19.7	0.671743	FBpp0083894	9.3	14.9	0.612521	ENSMUSP00000025786.7	11.7	19.3	0.683587	ENSP00000316454.4	11.6	19.3	TRUE	0.683587		FBpp0083894		FALSE
MS3_10428	P22122	RHO_DIPOM	35.0	36.9	0.876404	Smp_146600.1	27.7	31.1	1	Sjp_0040680	36.5	38.0	0.876404	T265_09132	35.0	36.9	0.876404	csin108595	8.2	8.8	0.88764	D915_07112	73.7	80.8	0.955056	522.90	1306.08	Y51H4A.3a	34.5	36.9	0.876404	FBpp0086353	34.5	36.5	0.876404	ENSMUSP00000002303.5	34.3	36.8	0.876404	ENSP00000434877.2	57.7	60.8	FALSE	0.988764		FBpp0086353		FALSE
MS3_10427						Smp_137130.1	94.1	96.3	1					T265_01791	30.2	45.6	0.932203	csin111689	30.4	45.6	0.932203	D915_10177	22.3	32.5	0.635593	12.14	10.59																					FALSE
MS3_10426	M9NDE3	BARK_DROME	3.4	6.4	0.781853	Smp_124200.1	24.9	27.1	0.899614	Sjp_0000080	14.9	17.3	0.982625	T265_05399	7.0	10.1	0.944015	csin108218	9.6	13.6	0.955598					0.25	0.00	C06B8.7	4.2	6.8	0.862934	FBpp0297894	3.4	6.4	0.781853											FBpp0297894		FALSE
MS3_10425	Q8N7X0	ADGB_HUMAN	7.5	12.8	0.923457	Smp_130640.1	17.3	20.5	0.918519	Sjp_0052870	63.3	73.7	0.94321	T265_14789	30.1	43.7	0.785185	csin111417	25.9	36.3	0.881481	D915_02325	32.9	44.9	0.846914	1.61	0.15	T04A8.16	12.1	19.4	0.767901					ENSMUSP00000146658.1	7.5	12.5	0.918519	ENSP00000381036.3	7.5	12.8	TRUE	0.923457				FALSE
MS3_10424	P16924	P4HA1_CHICK	21.7	27.5	0.935622	Smp_068280.1	27.4	28.7	0.888412	Sjp_0068940	19.0	24.4	0.613734	T265_01562	23.0	29.0	0.961373	csin103253	23.3	28.8	0.961373					270.58	22.65	F35G2.4	18.8	23.7	0.866953	FBpp0085012	18.0	23.3	0.83691	ENSMUSP00000009789.8	17.8	21.5	0.781116	ENSP00000263556.3	18.0	21.3	TRUE	0.76824			ENSMUSP00000009789.8	FALSE
MS3_10423	P70704	AT8A1_MOUSE	19.0	23.7	0.97389	Smp_104500.1	31.9	32.7	0.992167	Sjp_0046490	16.5	18.9	0.908616	T265_10713	24.1	27.6	0.992167	csin106364	28.1	32.3	0.992167	D915_09520	23.5	27.2	0.381201	40.99	26.87	Y49E10.11a	16.3	22.1	0.963446	FBpp0289032	19.4	24.7	0.986945	ENSMUSP00000118379.2	19.2	24.0	0.97389	ENSP00000264449.10	19.2	24.0	TRUE	0.97389		FBpp0289032		FALSE
MS3_10422	Q8R0M8	MOT5_MOUSE	14.8	28.2	0.756098	Smp_161850.1	51.3	52.8	0.977827	Sjp_0069690	43.4	49.7	0.993348	T265_08995	22.6	34.8	0.957871	csin100066	22.9	35.6	0.966741	D915_02264	17.4	25.4	0.490022	53.99	10.86	K05B2.5b	16.3	29.7	0.940133	FBpp0070377	18.1	32.1	0.895787	ENSMUSP00000029502.7	14.8	28.2	0.756098	ENSP00000432495.1	16.9	35.1	TRUE	0.842572		FBpp0070377		FALSE
MS3_10421	Q9SMI3	RS12_CYAPA	50.3	62.1	0.931298	Smp_060090.1	100.0	100.0	1	Sjp_0040720	87.8	90.1	0.931298					csin101757	41.8	47.8	0.603053	D915_03471	77.9	87.0	1	257.82	488.43	F54E7.2	40.7	53.1	0.961832	FBpp0075612	39.6	57.6	0.961832	ENSMUSP00000083973.5	47.1	60.9	0.954198	ENSP00000230050.3	47.1	60.9	FALSE	0.954198	F54E7.2	FBpp0075612		FALSE
MS3_10420						Smp_073800.1	53.1	56.5	0.947368	Sjp_0083520	32.1	38.3	0.879457	T265_13763	20.8	29.5	0.473684					D915_06857	28.5	42.2	0.692699	21.01	11.00																					FALSE
MS3_10419						Smp_199260.1	5.4	6.5	0.981651	Sjp_0063850	20.3	24.2	0.761468													0.46	0.00																					FALSE
MS3_10418	Q7M456	RNOY_CRAGI	16.9	25.8	1	Smp_193860.1	50.4	66.1	1	Sjp_0089440	22.8	28.5	1	T265_03234	14.3	20.3	0.927419	csin104087	16.9	24.7	0.983871					0.00	0.00					FBpp0076469	11.1	18.3	0.935484	ENSMUSP00000086519.5	12.2	19.3	0.91129	ENSP00000422846.1	13.1	19.9	TRUE	0.91129				FALSE
MS3_10417																										0.00	0.00																					FALSE
MS3_10416	Q3SZ19	PSMD9_BOVIN	9.3	14.4	0.258523	Smp_181380.1	72.9	75.6	0.836648	Sjp_0041540	15.6	19.0	0.25	T265_00543	18.3	26.4	0.519886	csin109518	23.8	33.0	0.690341	D915_04826	9.6	14.3	0.238636	26.93	32.99	C44B7.1	7.4	12.8	0.223011	FBpp0082314	8.6	14.2	0.241477	ENSMUSP00000098295.4	7.9	14.0	0.257102	ENSP00000445058.1	9.1	14.7	TRUE	0.261364				FALSE
MS3_10415						Smp_166690.1	64.1	75.8	0.932127	Sjp_0068500	25.3	40.8	0.950226													0.00	0.00																					FALSE
MS3_10414	P63098	CANB1_HUMAN	14.5	15.8	0.17002	Smp_157220.1	25.5	27.6	0.739437	Sjp_0035760	16.5	16.8	0.17002	T265_06487	18.3	22.1	0.287726	csin110663	16.0	16.7	0.17002	D915_04393	19.3	29.3	0.552314	9.15	38.39	F55C10.1b	13.1	15.4	0.17002	FBpp0070731	13.4	15.1	0.17002	ENSMUSP00000099944.4	14.5	15.8	0.17002	ENSP00000387216.1	14.1	15.4	TRUE	0.17002			ENSMUSP00000099944.4	FALSE
MS3_10413	Q18515	C1GLT_CAEEL	36.7	48.8	0.926901	Smp_168450.1	84.1	87.0	1	Sjp_0056210	85.7	92.4	1	T265_02347	26.8	36.3	0.932749	csin104483	44.3	60.5	0.932749	D915_11873	27.7	42.6	0.643275	0.00	0.00	C38H2.2	36.7	48.8	0.926901	FBpp0079388	35.4	50.7	0.953216	ENSMUSP00000047931.4	40.1	52.1	0.944444	ENSP00000223122.2	38.8	52.6	FALSE	0.982456		FBpp0079388	ENSMUSP00000047931.4	FALSE
MS3_10412	Q09575	YRD6_CAEEL	7.9	11.7	0.905455	Smp_182910.1	7.4	12.3	0.941818	Sjp_0119020	50.9	68.7	0.923636	T265_05745	8.8	11.9	0.992727	csin104442	15.9	25.2	0.909091	D915_14999	20.7	32.9	0.650909	1.36	1.44																					FALSE
